(services),"(price, what the client pays in mxn)",(lab test instructions),
"CHECK UP MASCULINO (PSA LIBRE Y TOTAL, BH Y EGO)",430.00,1. AYUNO MÍNIMO DE 8 HRS.\n2. RECOLECTAR A CHORRO MEDIO LA PRIMERA ORINA DE LA MAÑANA EN UN FRASCO ESTÉRIL. \n3. ABSTINENCIA SEXUAL DE 3 DÍAS. \n4. LA MUESTRA DE ORINA DEBE SER REMITIDA DENTRO DE LAS DOS PRIMERAS HORAS POSTERIORES A LA RECOLECCIÓN.\n,
"CHECK UP MASCULINO COMPLETO (QS12, PSA LIBRE Y TOTAL, BH, EGO)",662.00,,
"CHECK UP MEDIO DE 12 ELEMENTOS (QS12, BH, EGO)",309.00,"AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12, RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y QUE NO PASE MÁS DE DOS HORAS PARA ENTREGARLA EN EL LABORATORIO",
"CONVENIO MRM (BH, EGO, QS5,  ANTIDOPING 2, VDRL, HIV)",0.00,AYUNO MINIMO DE 8 MAXIMO 12 HRS\n1A. ORINA DE LA MAÑANA EN FRASCO ESTERIL,
CONVENIO PAQUETE LABORAL MEXIRRC,0.00,AYUNO MINIMO DE 8 HRS MAXIMO DE 12 HRS.\nPaquete Laboral incluye:\n*Evaluación Clínica\n1398/E - Perfil de Drogas Abuso III\n1407/E – Química Sanguínea 6 Elementos,
CONVENIO PAQUETE LABORAL MOTO REPUESTOS/TOTAL,"1,924.52",Ayuno de 8 a 12 horas.\nRecolectar muestra de orina en el laboratorio\n\n Contiene:\n692-Biometría Hemática $41.76\n1399-Perfil Drogas II $219.01\n83- Examen general de orina $34.34\n1320- Química Sanguínea 5 elementos $79.81\n416- HIV $129.92\n286-VDRL $44.54\nValoración Médica,
"EVALUACIÓN LABORAL PERIÓDICA CEMEX (QS6, PERFIL ABUSO DROGAS III, BH, HBA1C, RX TÓRAX, RX AP Y LAT. COL LUMBAR, ESPIROMETRÍA, AUDIOMETRÍA, EKG, EVALUACIÓN MÉDICA)",0.00,"AYUNO MÍNIMO DE 8 HORAS MÁXIMO DE 12, ACUDIR CON ROPA CÓMODA SIN NINGÚN TIPO DE METAL NI APLICACIONES, EVITAR ACTIVIDAD FÍSICA INTENSA 24 HORAS PREVIAS AL ESTUDIO, NO COLOCARSE\nCREMA, POMADA O TALCO EN LA ZONA DEL PECHO. EN CASO DE PACIENTES MASCULINOS ACUDIR CON\nEL PECHO DEPILADO, NO UTILIZAR MEDICAMENTO PARA ALERGIA O PARA LOS PULMONES 8 HORAS ANTES DEL ESTUDIO, NO HABER PRESENTADO GRIPA O DOLOR DE GARGANTA 15 DÍAS ANTES DE REALIZAR EL ESTUDIO, NO SE PODRÁ REALIZAR ",
"PANEL VIRAL PACIENTE (HIV 1 Y2, HCV, HBsAg)",654.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
"PAQUETE  REGRESO A CLASES (CULTIVO FARÍNGEO, GRUPO SANGUÍNEO Y RH, CERTIFICADO MED)",499.00,1. AYUNO MÍNIMO DE 8 HORAS\n2. SIN ASEO BUCAL Y SIN TOMAR ANTIBIÓTICOS 7 DÍAS ANTES,
PAQUETE ANUAL ADHARA,0.00,"EVITAR ACTIVIDAD FÍSICA INTENSA 24 HORAS PREVIAS AL ESTUDIO, NO COLOCARSE CREMA,\nPOMADA O TALCO EN LA ZONA DEL PECHO. EN CASO DE PACIENTES MASCULINOS ACUDIR CON EL\nPECHO DEPILADO",
PAQUETE BASICO I,0.00,Ayuno 12 horas.\nMuestra de orina reciente.,
PAQUETE BASICO II,0.00,Ayuno 12 horas.\nMuestra de orina reciente.,
"PAQUETE CENTRAL ADN (BH, EGO, QS6, HIV 1 Y 2, TORAX 1P, INTER RX, DOPING III, HB GLI., GPO Y RH)",0.00,AYUNO  DE 8 A 12 HRS.\nPRIMERA ORINA DE LA MAÑANA EN FRASCO ESTERIL.,
PAQUETE CHECK UP INTEGRAL ADULTO MAYOR,0.00,Incluye: \n692 Biometría hemática completa $ 41.76\n1533 Quimica sanguinea de 24 elementos $ 278.40\n1245 Hemoglobina glicosilada (A1c) $ 106.72\n83 Examen general de orina $34.34\nUltrasonido de abdomen Superior o Pélvico \nElectrocardiograma en reposo \nRadiografía PA de tórax con interpretacion    \nInbody  ,
PAQUETE COMPLEMENTO MUJER +40,0.00,,
"PAQUETE COMPLETO REGRESO A CLASES (CULTIVO FARÍNGEO, BH, GRUPO SANGUÍNEO Y RH, EGO Y COPRO 3 MTRAS)",464.00,"1. AYUNO MÍNIMO DE 8 HORAS\n2. SIN ASEO BUCAL Y SIN TOMAR ANTIBIÓTICOS 7 DÍAS ANTES\n3. RECOLECTAR TRES MUESTRAS DE MATERIA FECAL DEL TAMAÑO DE UNA NUEZ UNA POR DÍA, CADA MUESTRA DEBERÁ COLOCARSE EN UN FRASCO ESTÉRIL Y SE DEBERÁ MARCAR EL FRASCO CON EL NÚMERO DE CADA MUESTRA\n4. RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y QUE NO PASE MÁS DE DOS HORAS PARA ENTREGARLA EN EL LABORATORIO",
PAQUETE CUATRIMESTRAL ADHARA,0.00,AYUNO MÍNIMO 8 HORAS MÁXIMO 12,
PAQUETE EVALUACION COVID,0.00,AYUNO MINIMO DE 8 HRS MAXIMO DE 12 HRS,
PAQUETE FEMENINO,0.00,Ayuno de 12 horas,
"PAQUETE FEMENINO MAYOR DE 40 AÑOS ( SANGRE OCULTA EN HECES , QS38, IgA, G y M, PROT C REACTIVA, BH, EGO, COPROC, PERFIL HORMONAL FEMENINO II, VIT D, RxTx, EKG)","2,887.00",,
"PAQUETE FEMENINO MENOR DE 40 ( SANGRE OCULTA EN HECES, QS38,IgA,G y M, PROT C REACTIVA ,BH, EGO, COPROC, PERFIL HORMONAL FEMENINO II ,VIT D, PERFIL DE HIERRO, AC ANTI FOSFOLIPIDOS, RxTx, EKG, US ABDOMEN)","3,362.00",,
PAQUETE INFANTIL,0.00,Ayuno  no indispensable,
"PAQUETE LABORAL MRM (BH, EGO, DOPING 2, HIV 1Y2, QS5, VDRL)",0.00,AYUNO MINIMO DE 8 HRS MAXIMO DE 12,
PAQUETE MASCULINO BASICO,0.00,Ayuno 12 horas.\nMuestra de orina reciente.,
PAQUETE MASCULINO COMPLETO,0.00,,
"PAQUETE MASCULINO MAYOR DE 40 AÑOS ( QS38, PROT C REACTIVA, BH, EGO, COPROC, VIT D, PERFIL DE HIERRO, EKG, PERFIL PROSTATICO II)","3,016.00",,
"PAQUETE MASCULINO MENOR DE 40 AÑOS ( SANGRE OCULTA EN HECES, QS38, IgA, G y M, PROT C REACTIVA, BH, EGO, COPROC, VIT D, PERFIL DE HIERRO, AC ANTI FOSFOLIPIDOS, RxTx, EKG, US ABDOMEN)","2,637.00",,
PAQUETE MENSUAL ADHARA,0.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA\nMUESTRA.",
"PAQUETE MENSUAL SOREIN (BH, QS24, BUN)",0.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
PAQUETE MUJER +40,0.00,AYUNO MINIMO DE 8 HRS MAXIMO DE 12 HRS.\nRECOLECTAR LA PRIMERA ORINA DEL DIA A CHORRO MEDIO EN UN FRASCO ESTERIL.\nRECOLECTAR EN UN FRASCO ESTERIL  MATERIA FECAL DEL TAMAÑO DE UNA NUEZ.\nNO CONSUMIR ANTIBIOTICOS 7 DIAS ANTES.,
"PAQUETE PREOPERATORIO BÁSICO (EGO, BH, TP, TTPA, GRUPO SANGUÍNEO, GLUCOSA, UREA Y CREATINA) ",343.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12.\nRECOLECTAR LA PRIMERA ORINA DE LA MAÑANA,
"PAQUETE PREOPERATORIO COMPLETO (EGO, BH, TP, TTPA, GRUPO SANGUÍNEO, GLUCOSA, UREA, CREATININA, RX TÓRAX Y ELECTROCARDIOGRAMA)",671.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12.\nRECOLECTAR LA PRIMERA ORINA DE LA MAÑANA.\nAGENDAR CITA PARA RX,
PAQUETE SEMESTRAL ADHARA,0.00,AYUNO DE 8 HORAS,
PAQUETE TOMA DE GLUCOSA Y PRESIÓN,119.00,NINGUNA,
PAQUETE TRIMESTRAL ADHARA,0.00,AYUNO DE 8 A 12 HORAS,
PERFIL BIOH FEMENINO,0.00,,
PERFIL BIOH MASCULINO,0.00,,
PERFIL CINÉTICA DE HIERRO,343.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
PERFIL DE ANEMIAS I,0.00,AYUNO  8 HORAS,
PERFIL DE ANEMIAS II,0.00,AYUNO 8 HORAS,
PERFIL DE LIPIDOS + QUIMICA SANGUINEA 4,0.00,Ayuno 12 horas,
PERFIL DENGUE,0.00,,
PERFIL DIABETICO,0.00,Ayuno de 12 horas\nMuestra de orina Reciente,
PERFIL GERIATRIA,0.00,AYUNO 12 HRS.,
PERFIL HORMONAL FEMENINO II,896.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
PERFIL MARCADORES TUMORALES DE MAMA (CA15-3 Y ANTÍGENO CARCINOEMBRIONARIO),0.00,AYUNO DE 8 A 12 HORAS,
PERFIL PAPA,0.00,AYUNO 12 HRS,
PERFIL PAPA,0.00,AYUNO 12 HRS,
PERFIL PRENATAL,0.00,Ayuno de 8 horas.\nMuestra de orina reciente.,
PERFIL PRENATAL 1,375.00,"AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12, RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y QUE NO PASE MÁS DE DOS HORAS PARA ENTREGARLA EN EL LABORATORIO",
PERFIL PREOPERATORIO,0.00,AYUNO 8 HORAS,
"PERFIL PROSTÁTICO II (PSA TOTAL, PSA LIBRE, FOSFATASA ÁCIDA TOTAL, FRACCIÓN PROSTÁTICA Y FOSFATASA ALCALINA)",413.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
"PERFIL REUMÁTICO (FR, ASO, PCR, AC. URICO, EX. FAR)",542.00,AYUNO MINIMO DE 8 HRS.\nSIN ANTIBIOTICOS 7 DIAS ANTES\nSIN ASEO BUCAL,
PERFIL REUMATICO BASICO,0.00,Ayuno 8 horas.,
PERFIL ROTAVIRUS,0.00,Muestra de heces en frasco esteril. \nAyuno no Indispensable,
PRENATAL II,611.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12. RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y ENTREGARLA EN EL LABORATORIO ANTES DE 2 HORAS,
SALUD INTEGRAL OMEDIC,"1,600.00","Ayuno de mínimo 8 hrs, máximo 12 hrs. \nPrevia cita\nIncluye:   \nToma de signos vitales (TA, FR,  FC, TEMP, O2) \nAntropometría (InBody, Estatura)\nToma Sanguínea (Qs 18, Hba1c)\nConsulta integral",
TAMIZ METABÓLICO NEONATAL,0.00,REALIZARSE EN LOS PRIMEROS 10 DÍAS DE NACIDO,
UROCULTIVO CON MYCOPLASMA Y UREAPLASMA,0.00,Recolectar primera orina de la mañana en frasco estéril.\nNo estar bajo tratamiento de antibiótico.,
UROCULTIVO SIMPLE,0.00,"1ra orina de la mañana, recolectada en frasco estéril.\nNo estar bajo tratamiento de antibiótico.",
AC ANTI HEPATITIS A (HAV-G/HAV-M),635.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
AC. ANTI BORRELLIA BURGDORFERI IgG e IgM (Enfermedad de Lyme),0.00,,
ANTIDOPING DROGAS VI,0.00,Ayuno no Indispensable,
"ANTIDOPING II (COCAÍNA, CANNABINOIDES, ANFETAMINAS)",369.00,RECOLECTAR ORINA EN EL LABORATORIO,
"ANTIDOPING IV (COCAÍNA,METANFETAMINA, ANFETAMINAS, MARIHUANA, OPIÁCEOS)",404.00,RECOLECTAR ORINA EN EL LABORATORIO,
BAAR 3 MUESTRAS,0.00,,
BAAR 5 MUESTRAS,0.00,,
BILIRRUBINAS,137.00,AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
BIOMETRÍA HEMÁTICA,206.00,AYUNO DE 4 HORAS,
CARIOTIPO EN SANGRE PERIFÉRICA,0.00,,
"CHECK UP FEMENINO (PERFIL HORMONAL FEMENINO 1, BH,  EGO)",680.17,AYUNO DE 8 A 12 HORAS.\nRECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y QUE NO PASE MÁS DE DOS HORAS PARA ENTREGARLA EN EL LABORATORIO,
"CHECK UP MASCULINO (PSA LIBRE Y TOTAL, BH Y EGO)",430.00,AYUNO DE 8 A 12 HORAS.\nRECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y QUE NO PASE MÁS DE DOS HORAS PARA ENTREGARLA EN EL LABORATORIO,
CHIKUNGUNYA,0.00,,
CITOQUIMICO DE LIQUIDOS CORPORALES,520.00,UTILIZAR RECIPIENTE ESTERIL,
COPROLOGICO GENERAL,0.00,Muestra de Heces Reciente del tamaño de una nuez,
COPROLOGICO GENERAL CON ROTAVIRUS,0.00,,
COPROPARASITOSCOPICO 1,0.00,Recolectar una muestra de heces reciente del tamaño de una nuez en un frasco estéril.,
COPROPARASITOSCOPICO 2,0.00,"Recolectar una muestra de heces diaria del tamaño de una nuez, en un frasco estéril.",
COPROPARASITOSCOPICO 3,267.24,"Recolectar una muestra diaria del tamaño de una nuez, en un frasco estéril",
COPROPARASITOSCÓPICO 3 MUESTRAS,267.00,RECOLECTAR MUESTRA DE MATERIA FECAL (10 GRS) EN UN RECIPIENTE ESTÉRIL. UNA POR DÍA HASTA COMPLETAR LAS 3 MUESTRAS,
COVID-19,0.00,,
CULTIVO DE EXPECTORACION,0.00,Recolectar flema en frasco esteril.,
CULTIVO DE HONGOS,0.00,"Raspado del área afectada, recolectar muestra en frasco estéril.",
CULTIVO DE LIQUIDO SEMINAL  SIMPLE,0.00,Muestra de semen en frasco esteril.,
CULTIVO DE LIQUIDO SEMINAL COMPLETO,0.00,,
CULTIVO DE OÍDO,0.00,No estar en tratamiento medico de antibiótico.\nNo aplicar ungüentos o gotas.,
CULTIVO DE SECRECIÓN,0.00,No estar bajo tratamiento medico de Antibiótico.\nNo aplicar cremas o ungüentos.,
CULTIVO OFTALMICO,0.00,No aplicar gotas en el área afectada.\nNo estar bajo tratamiento medico de antibiótico.,
CULTIVO PARA VIBRIO CHOLERAE (COLERA),0.00,Recolectar muestra de heces.,
CULTIVO URETRAL COMPLETO,0.00,,
CULTIVO URETRAL SIMPLE,0.00,No estar bajo tratamiento medico de antibiótico.,
CURVA DE TOLERANCIA A LA GLUCOSA (2 HORAS),"1,021.00",Ayuno 8 horas,
CURVA DE TOLERANCIA A LA GLUCOSA GESTACIONAL,0.00,"Ayuno 8 horas, dextrostix menor a 120",
DENGUE DUO NS1 Ag + IgG/IgM,0.00,Ayuno no Indispensable,
DEPURACIÓN DE CREATININA DE 24 HORAS,0.00,"Recolección de orina de 24 horas y ayuno de 8 horas, solicitar dato de peso y talla al Paciente.",
DETERMINACIÓN DE POTABILIDAD DE AGUA,0.00,3 muestras de agua en diferentes frascos estériles con el nombre del lugar de la toma.,
DETERMINACIÓN VIRUS DE ZIKA,0.00,Ayuno no Indispensable,
ELECTROFORESIS DE PROTEÍNAS EN SUERO,284.00,AYUNO MINIMO DE 8 HRS MAXIMO 12.,
ELECTROLITO SERICOS 6,0.00,Ayuno 8 horas,
"ELECTROLITOS SÉRICOS (Na, K, Cl, Ca, P, Mg)",250.00,AYUNO DE 8 HRS,
ELECTROLITOS SERICOS 3,0.00,Ayuno no Indispensable,
Electrolitos sericos de QS 27e,0.00,Ayuno de 8 horas. Recolectar en tubo tapon dorado\n(gel separador),
ESPERMATOBIOSCOPIA DIRECTA,237.00,"ABSTINENCIA SEXUAL DE 3 DÍAS. NO ANDAR EN BICICLETA, NI MONTAR EN CABALLO. LA MUESTRA SE TIENE QUE RECOLECTAR EN EL LABORATORIO",
EXAMEN GENERAL DE ORINA,149.00,"*RECOLECTAR A CHORRO MEDIO LA ORINA EN UN FRASCO ESTÉRIL.\n*LA MUESTRA IDEAL ES LA PRIMERA DE LA MAÑANA, SIN EMBARGO SE PUEDE REALIZAR EN UNA MUESTRA AL AZAR, SIEMPRE Y CUANDO TENGA UN PERÍODO DE 4 HORAS SIN ORINAR.\n*PARA LOS NIÑOS QUE NO COLABORAN EN LA RECOLECCIÓN, SE LES DEBE ASEAR, SECAR BIEN Y PONERLES UNA BOLSA RECOLECTORA.\n*SI EL PACIENTE ES MUJER, QUE NO SE ENCUENTRE EN SU PERIODO MENSTRUAL, O BIEN AL TERMINO DEL PERIODO DEJAR PASAR DE 3 A 5 DÍAS Y RECOLECTAR LA MUESTRA.\n*ABSTINENCIA SEXUAL  MÍNIMO DE 3 DÍAS. \nLA MUESTRA DEBE SER REMITIDA DENTRO LAS 2 PRIMERAS HORAS POSTERIORES A LA RECOLECCIÓN.",
EXUDADO FARINGEO,357.00,Ayuno de 8 horas.\nNo estar en tratamiento medico de Antibiótico.,
EXUDADO NASAL,0.00,No estar bajo tratamiento medico de Antibiotico. \nNo aplicar spry nasal.,
EXUDADO VAGINAL COMPLETO,0.00,No aplicar ovulos ni cremas vaginales.\nNo estar en tratamiento de antibiotico.,
EXUDADO VAGINAL SIMPLE,0.00,No estar bajo tratamiento medico de antibiótico.\nNo aplicar óvulos ni cremas vaginales.,
FILTRADO GLOMERULAR,271.00,RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
FROTIS DE SANGRE PERIFÉRICA,0.00,AYUNO DE 8 HRS,
GLUCOSA POSTPRANDIAL,0.00,Ayuno no Indispensable,
GRUPO SANGUÍNEO Y FACTOR RH,125.00,,
HEMOCULTIVO,0.00,,
Hepatitis Perfil B IgG e IgM,"1,017.00",AYUNO MINIMO 8 HRS,
HIV 4TA GENERACIÓN,0.00,Ayuno no Indispensable,
INFLUENZA A + B,0.00,,
"INMUNOGLOBULINA A, G, M",257.00,AYUNO MÍNIMO DE 8 HRS MÁXIMO 12.,
"INMUNOGLOBULINAS A,G,M,E",413.00,AYUNO DE 8 HRS.,
INSULINA BASAL Y POSTPRANDIAL,0.00,,
ISOENZIMAS DE CPK,902.00,,
Panel Gastrointestinal por FilmArray,0.00,Traer muestra de materia fecal reciente del tamano de una nuez No más de 8 HORAS a temperatura ambiente después de haberse recolectado (IDEALMENTE MANTENER EN REFRIGERACIÓN) EL PACIENTE NO DEBE ESTAR TOMANDO ANTIBIOTICO NI ANTIPARASITARIOS EN LOS ÚLTIMOS 5 DÍAS,
PANEL VIRAL - PAQUETE CLÍNICA - SOREIN,0.00,,
PANEL VIRAL 16 VIRUS,"2,035.00",No tomar antivirales 48 hrs previo a la toma de la muestra.,
PANEL VIRAL DE HEPATITIS I,774.00,AYUNO DE 8 HORAS,
PANEL VIRAL DE HEPATITIS III,"1,550.00",AYUNO MÍNIMO DE 8 HORAS MÁXIMO DE 12,
PAQUETE DE MATERNIDAD PRIMER TRIMESTRE,999.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12. RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y ENTREGARLA ANTES DE 2 HORAS EN EL LABORATORIO\nAGENDAR CITA PARA ULTRASONIDO,
PAQUETE DE MATERNIDAD SEGUNDO TRIMESTRE,"1,119.00","AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12, RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y ENTREGARLA ANTES DE 2 HORAS EN EL LABORATORIO. AGENDAR CITA PARA ULTRASONIDO",
PAQUETE DE MATERNIDAD TERCER TRIMESTRE,887.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12. RECOLECTAR LA PRIMERA ORINA DE LA MAÑANA Y ENTREGARLA ANTES DE 2 HORAS EN EL LABORATORIO. AGENDAR CITA PARA EL ULTRASONIDO,
"PAQUETE MCD (EV CLINICA, BH, QS6, EGO, ANTI HIV, VDRL)",0.00,"PAQUETE MCD (EVALUACIÓN CLÍNICA, BIOMETRÍA HEMÁTICA, QUÍMICA SANGUÍNEA 6 ELEMENTOS, EXAMEN GENERAL DE ORINA, AC ANTI HIV, VDRL)",
"PAQUETE MCD + TOXIC (EV CLINICA, BH, QS6, EGO, ANTI HIV, VDRL, ABUSO DROGAS III)",0.00,"PAQUETE MCD + TOXIC (EVALUACIÓN CLÍNICA, BIOMETRÍA HEMÁTICA, QUÍMICA SANGUÍNEA 6 ELEMENTOS, EXAMEN GENERAL DE ORINA, AC ANTI HIV, VDRL, PERFIL ABUSO DROGAS III)",
PCR PARA DETECCION Y GENOTIPIFICACION DEL VPH,0.00,,
PERFIL ALERGIA  6 DETERMINACIONES,0.00,,
PERFIL ALERGIA ALIMENTO,"8,784.00",,
PERFIL ALERGIA INHALATORIO (40 ELEMENTOS),"8,784.00",AYUNO DE 8 HORAS,
PERFIL ANDROGENICO (HIRSUTISMO),"6,810.00",Ayuno mínimo de 8 horas máximo 12. Tomar la muestra antes de las 10 de la mañana,
PERFIL AUTOINMUNE I,"1,150.00","AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PERFIL DE 32 ALERGENOS,0.00,,
PERFIL DE 4 ALERGENOS,474.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
PERFIL DE ANEMIAS II,"1,530.00",AYUNO DE 8 HRS A 12 HRS.\nIncluye: \n Vitamina B12 (Cianocobalamina)\n Acido folico (Folatos)\n Hierro\n Ferritina\n Transferrina,
Perfil de Anticuerpos Extraibles del Núcleo,0.00,Ayuno de 8 horas.,
PERFIL DE ARTRITIS,481.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTR",
PERFIL DE DROGAS DE ABUSO II,318.00,,
PERFIL DE DROGAS DE ABUSO III,999.00,RECOLECTAR LA MUESTRA  EN UNA FRASCO ESTÉRIL EN EL LABORATORIO,
Perfil de Hemoglobina Glucosilada,0.00,Perfil de Hemoglobina Glucosilada incluye:\n- Hb glucosilada A1c\n- Hb total\n- Hemoglobina A1c\n- Glucosa promedio trimestral (GPT),
PERFIL DE HEPATITIS A,0.00,Ayuno no Indispensable,
PERFIL DE HEPATITIS A+B+C+D,"4,404.00",Ayuno de 8 a 12 horas,
PERFIL DE HIERRO III,0.00,,
PERFIL DE LIPIDOS I,548.00,AYUNO DE 8 HORAS,
PERFIL DE LÍPIDOS III,"1,000.00",AYUNO DE 8 HORAS,
Perfil de Marcadores Tumorales de mama,889.00,Ayuno de 8 horas. Recolectar en tubo tapon dorado\n(gel separador).,
PERFIL DE TORCH IgG / IgM,"1,155.00",AYUNO 8 HORAS,
